Customer ID,VMail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,total_Mins,Intl_Calls,Intl_Charge,Total_Charge,CustServ_Calls
6de13182c1240a2,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,604.8,6,3.97,66.72,3
5801cdc0654854b,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,452.6,6,3.92,48.42,0
6f01c0f2ff69a3b,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,592.3,5,2.7,54.2,1
93771bfc98cf968b,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,503.7,6,2.84,58.03,3
93db5503697ade7f,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,611.6,9,3.0,58.44,1
7a41587edbbadbc,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,490.3,2,2.54,46.64,3
93754da6aa84e7e5,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,513.8,15,3.94,56.2,0
57a4f6522b91a0f,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,728.5,4,2.7,61.93,2
94752cda37c4c39c,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,438.8,4,2.48,39.15,3
68b2810fffe4857,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,648.6,3,0.95,58.26,1
63eb90976963900,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,505.5,5,2.3,48.3,2
68d210c40a17cf7,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,521.8,5,3.56,59.36,3
93c5fe89891e28cb,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,571.2,5,2.0,56.13,2
92cc09815afadc86,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,542.4,3,2.38,55.53,5
7a2bf777e8b85d5,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,432.0,3,2.97,47.25,1
629b975665a25d8,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,706.3,5,2.11,68.32,3
67e3585fb842321,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,687.5,3,1.84,68.49,1
4bc0ba5c6936c00,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,670.5,6,3.08,63.62,2
79fa20c1a071f15,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,665.5,5,2.51,62.76,2
7487a92140c6fca,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,584.3,3,2.62,56.14,5
735a8b310a275e7,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,705.2,3,2.75,65.94,1
93c304cc59fe348e,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,455.7,2,2.16,45.37,1
930e7b0ce94e93f3,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,460.7,3,1.57,49.85,3
696cde0b4aba64d,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,537.2,3,3.27,55.36,3
931b3e4bfdfca97c,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,608.0,8,3.24,65.82,1
94db1783cecb1297,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,540.0,4,3.08,57.68,1
92c2ba92ac724a7d,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,624.7,3,3.13,71.42,2
6e4805a30acf0ff,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,592.4,3,3.94,64.0,2
93dbc897b54eeb10,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,646.6,3,3.4,62.03,3
5872228383fd1aa,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,461.3,6,2.21,45.51,2
5caf251fae7ec88,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,537.9,5,1.67,50.89,2
5d3c1470d402f1b,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,631.4,4,2.51,70.46,0
92baf8c2d5a32561,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,469.2,8,2.24,46.88,0
931ebf011e54edda,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,589.8,1,2.11,63.43,1
941c0000e19aff1e,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,510.4,3,3.73,55.2,4
937e26b1429f2f02,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,719.4,7,3.19,72.08,3
947b67b5c32e1c93,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,679.8,2,3.27,68.96,0
93d58477ffaedaac,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,578.0,4,2.16,64.84,3
78d829193f14cfe,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,589.8,4,1.97,62.68,1
741329088e0c8e5,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,593.2,3,3.24,65.16,0
62450cffbcb2f40,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,567.9,2,1.65,55.5,1
7381161b7c22b77,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,763.1,4,3.16,81.75,0
93ccd169cc4b24d1,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,319.9,7,2.21,27.02,4
5db849f79fdf281,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,564.2,3,2.21,60.57,2
6d8d2cddbd10938,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,569.0,2,4.05,56.46,1
93cda78178016547,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,741.8,2,3.56,73.63,1
92c3e84c286eee10,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,711.3,5,3.4,69.96,3
631f0619149c8ea,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,488.4,2,2.97,50.6,3
6d840385ff60b32,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,741.7,4,2.65,77.16,1
926a2050a3fdfdd5,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,663.6,1,3.35,68.94,2
9324a9f344e58f45,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,736.8,7,2.32,66.54,0
798a9efffc73899,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,510.5,5,2.16,50.71,4
92b61c8f331f40a1,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,617.2,2,3.24,65.6,1
6e458caaa757526,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,490.5,9,2.94,48.72,2
9323e1d1393c4d38,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,708.3,4,3.75,74.64,1
7381166a68637ce,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,459.5,2,3.0,48.96,1
9429bd060204e719,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,599.2,4,2.4,62.03,0
73201fabb98818f,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,558.4,9,2.13,49.36,1
6f01f2edb4e92d2,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,704.7,7,2.57,72.6,3
78c4d1044f9426e,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,508.0,7,2.86,55.26,3
92627a72344a3ab5,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,532.4,5,2.65,64.21,1
6e19b8fad414a85,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,560.5,4,3.51,56.69,0
7a68216439ce938,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,605.1,3,2.35,62.25,4
930c852bcf154d9e,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,594.0,5,1.43,62.81,1
6ecd4c0b9ed9c60,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,742.5,7,2.65,75.32,2
7a4459fe23f0f59,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,578.0,8,1.19,57.24,4
926f3909c88bc75c,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,511.0,5,3.94,56.13,0
9376327ae861b6c6,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,461.2,6,2.84,46.85,0
79bcc02da7d8000,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,576.4,9,3.38,52.98,1
9311f40119649331,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,604.1,2,3.05,57.99,1
79adc4c1fd14c76,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,627.1,4,3.19,68.13,4
5813be3e3cd9da4,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,679.8,6,2.43,75.88,2
79637eddd143337,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,509.2,3,2.65,46.43,1
93c304ccfa6551da,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,509.2,1,2.73,49.0,1
943077198af283a0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,628.7,7,2.59,65.09,3
930c7d6f6a9d1438,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,609.7,8,2.24,62.61,1
9260a9ccab2cae19,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,643.7,2,3.4,63.86,2
7a38dc8c98b2d1b,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,591.7,4,3.27,57.12,4
931a31210c0e919f,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,593.8,7,3.59,53.79,1
6863accad422e68,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,449.3,3,2.54,36.48,1
58138c46d5da33f,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,610.0,6,5.4,66.75,0
68a506ccf933e00,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,386.6,3,3.83,47.01,1
6e49e9afdb57cea,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,681.8,4,2.54,76.91,1
92b8101c064e7260,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,458.8,3,2.7,43.41,2
7a15e7ffff24111,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,606.6,5,2.35,67.83,2
5db95b032c0602f,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,650.7,7,3.54,67.59,1
5cda5786b789e00,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,505.0,3,1.94,56.74,0
930f62fbefb0b31d,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,604.8,4,2.65,60.61,3
958d23a32bbeb736,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,427.7,3,3.13,48.51,1
9366e470ec5d531b,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,501.0,5,2.48,48.29,2
740976c81ed0237,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,695.3,3,3.24,68.34,1
947b6b90add7ff6d,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,392.1,3,2.46,34.84,4
681830918d34d22,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,566.2,6,1.73,56.23,4
793e7502bc5dd5c,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,469.6,4,2.48,42.41,2
9369c0add3965c44,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,650.1,4,2.57,64.63,3
78d7560dd90ecca,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,521.0,2,2.94,52.79,3
6e66f3fe9d36a2b,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,587.3,5,1.65,54.92,1
6f03b172923ab21,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,732.3,3,2.57,73.18,1
739a27014b79eff,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,614.7,1,1.92,62.34,4
947d33b33248bdfa,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,615.1,10,2.46,62.46,1
78f2ba6be1e2fd2,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,561.6,3,3.02,50.95,3
6e78a61b77ff7eb,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,636.1,4,1.43,60.5,5
78fa3e252122a74,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,620.8,3,3.24,64.43,3
931fc08996dc1832,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,584.5,8,3.02,56.79,1
92bb1708fb387ee6,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,525.8,5,2.75,57.66,2
92b15d03e1dd6b49,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,630.9,3,3.35,60.8,1
930c7989872917e1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,685.0,4,2.84,67.04,0
942fae2cc59d43cf,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,504.6,5,1.84,56.14,3
926190f674487a1b,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,654.2,4,3.16,70.71,1
92c77ba0cf8cd8cb,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,608.1,7,3.81,58.53,2
93c1072faee93a4a,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,516.7,6,3.86,61.86,3
9321c9cf9fccccab,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,567.3,3,3.7,55.09,1
73ca0cf8c24b7fe,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,620.6,4,3.16,73.16,1
930f489ccdf26e3c,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,570.0,5,2.3,58.99,1
93d00ea2f84e1b9c,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,717.8,4,3.0,73.5,2
92ba8e7e1bb4a67e,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,598.1,6,2.86,62.38,1
92c6af9db079bba8,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,618.6,7,2.73,51.24,1
68d505cfb5cb7f3,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,580.3,6,2.03,57.6,1
6363ddafd10a3d2,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,621.9,11,1.86,67.72,1
79f0ac3fc01975a,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,687.4,4,3.11,71.92,5
941e174172830fbf,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,746.5,4,2.65,69.83,0
73c0738aa534c97,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,734.5,7,4.27,87.89,0
9381c987a3023fce,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,677.5,2,3.7,63.15,0
8c9b74bccdba45ed,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,629.1,2,2.75,63.82,1
92c021c6ed25c7fb,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,499.9,4,2.59,49.76,1
7480951b4cdbb98,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,453.1,5,1.92,45.92,0
93c4c2d934d395e8,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,724.1,6,3.24,72.09,0
93c38a3d967dbed6,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,668.9,5,2.84,65.57,3
68464b9b6adaa0b,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,483.1,1,3.29,42.26,1
93d2b17e3876deff,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,528.2,3,1.65,56.87,1
79257ceadf9cdde,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,697.7,2,3.27,73.06,2
9538136af5c8e55e,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,625.4,3,2.03,60.1,1
93d775ab12e4557a,0,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,717.4,3,2.94,69.71,1
797f2dac180dc5a,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,482.1,4,3.46,53.58,1
57477dde06cef79,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,578.6,2,1.7,63.81,0
694f19357e31ba1,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,571.2,2,3.56,67.25,1
68a4edfac27f97f,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,527.1,5,2.86,55.65,2
52428b2cd978776,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,610.2,4,2.84,53.2,3
68d582005224b98,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,492.2,2,3.81,47.09,1
94e9ec9664c50433,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,619.4,5,1.65,62.62,0
7991b2ba1c14716,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,603.6,7,3.0,68.0,2
684689a9c0103f1,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,544.9,3,3.29,53.26,0
9320df916f371bdc,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,638.2,3,3.11,65.75,2
92c297aa9c6bbb70,0,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,16.2,591.8,10,4.37,59.73,3
6d8ae5e9decfb7a,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0.0,725.6,0,0.0,73.36,3
79a00c6a3ad2efd,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,703.3,5,2.57,67.01,4
931cd7179b895a78,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,345.6,1,3.21,31.05,5
693186bd0df708b,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,533.1,12,2.67,50.17,2
4d585bbca56714a,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,669.0,7,3.94,66.83,2
94d0a80116c841da,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,647.7,3,2.27,73.33,3
6e1ae2cc5314798,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,734.8,13,2.92,73.02,1
926990d46efff133,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,431.7,4,2.75,44.13,1
79509683bf7d692,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,589.2,3,2.94,72.09,2
94823395ac49a576,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,519.9,3,2.43,52.02,1
62820a437ee109c,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,660.1,3,2.46,68.3,1
926b6a018f68a34f,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,435.4,4,2.4,45.54,0
9367764070f22b1d,0,176.9,109,30.07,90.7,104,7.71,238.0,69,10.71,9.5,515.1,2,2.57,51.06,1
732f7e0fb905fa7,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,622.0,4,2.38,64.01,2
7990ec7531304d3,0,137.5,118,23.38,203.2,88,17.27,150.0,131,6.75,13.4,504.1,2,3.62,51.02,0
92c9b5c919793e7b,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,584.7,4,2.57,71.31,1
92c696cbc8553f85,23,198.1,86,33.68,177.0,86,15.05,180.5,92,8.12,6.8,562.4,6,1.84,58.69,1
6f0ce77f9f279ff,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,603.1,8,2.62,55.33,0
9d5e4a56579c93b8,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,695.2,6,2.89,81.57,2
9369a8a24c8456d2,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,761.7,7,3.73,81.98,4
6867114af98c8da,0,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,13.0,518.7,3,3.51,43.73,0
62d0d27c81dacd5,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,629.2,5,3.54,58.3,3
683892ed608305b,0,182.3,101,30.99,328.2,93,27.9,245.0,131,11.03,11.2,766.7,1,3.02,72.94,2
7a1beb141af382f,0,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,6.4,648.9,8,1.73,65.25,3
926682e715cac961,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,543.0,3,1.84,50.68,2
9430986edac11052,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,617.7,4,2.54,59.3,1
6900f25baacfd34,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,519.0,2,3.27,47.81,1
9311f4000bc6564b,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,521.2,8,3.7,60.37,2
58745d73f86a883,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,615.2,5,2.92,61.89,3
9269687df18b53b5,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,638.1,5,3.29,64.26,3
7a80db2dfa28d15,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,705.8,7,4.27,72.33,3
7a7773b70d33e0f,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,596.5,10,3.13,65.82,1
93cb999499484379,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,657.3,11,3.21,67.6,0
73930632d5cdff4,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,532.8,3,2.89,55.56,1
74380e477e74415,31,167.6,139,28.49,113.0,118,9.61,246.9,121,11.11,12.2,539.7,6,3.29,52.5,1
6d830af73c5d41c,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,545.6,4,4.75,65.97,2
795fe85ffa29cc5,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,594.6,6,3.11,58.9,3
79576c671a80ab3,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,521.2,3,2.94,52.28,0
930bd76aa95f1aad,0,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,674.3,7,1.27,62.87,3
